,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx,earthy,earthz,sunx,suny,sunz
257,2016-07-05 01:24:26,1.0,48.6,38.2,25.1,-10.3,-2.0,-22.8,153000000000.0,0.44,35391581.71301308,-147659137.77604547,-18648.510920087752,556400.5648712931,404048.79080061207,-24307.27642373692
258,2016-06-27 10:02:42,15.8,-11.9,33.3,29.1,-29.1,1.5,0.7,458000000000.0,1.2,16331406.421262678,-150865883.02112526,-18665.326913006316,557487.7426506286,396035.56376218534,-24319.181362612744
259,2016-06-05 06:12:55,-17.4,138.3,28.7,14.5,6.0,-11.9,5.7,331000000000.0,0.87,-39258756.37984819,-146113112.5898959,-18345.88134963093,560164.755938178,372815.61573999666,-24341.371812460893
262,2016-05-20 11:59:46,-32.8,15.1,30.6,20.8,5.4,-9.9,17.5,20000000000.0,0.073,-75885083.0756423,-130323407.37472305,-19516.785372837432,561647.5169242523,356316.5188033455,-24348.144423387257
263,2016-05-16 10:09:41,3.2,6.6,41.7,12.2,-6.7,-3.3,-9.6,519000000000.0,1.3,-84579975.25829032,-124688476.73042668,-19382.429051630013,561974.7557893962,352050.4336833265,-24348.79503939537
266,2016-04-18 11:59:10,20.7,-14.5,31.5,17.1,-3.5,2.2,-16.6,224000000000.0,0.62,-131266293.02880922,-71730105.66438596,-21045.47052338607,563595.3473388809,322843.1447766403,-24341.587570476004
268,2016-04-10 14:57:53,22.0,149.0,35.2,15.1,4.7,-12.9,-6.4,655000000000.0,1.6,-139439948.01658177,-53278544.04986238,-21317.00153217271,563854.4020995578,314611.15387471946,-24335.63200650215
269,2016-03-16 23:54:20,-49.2,-6.3,42.0,13.3,-7.6,9.1,6.0,32000000000.0,0.11,-148031961.199013,9101891.691676429,-23520.377832839637,564111.4149704416,288894.26433360536,-24306.686065311576
270,2016-03-03 01:32:43,-48.0,51.0,31.8,11.7,4.8,-7.1,7.9,58000000000.0,0.19,-141024373.04238093,44418538.54304874,-25658.422629243218,563879.2689857086,274346.85627163516,-24284.852240477674
271,2016-02-23 03:59:13,32.3,67.2,44.0,17.9,-8.5,-1.6,-15.7,35000000000.0,0.12,-132157565.84993942,65734126.58475736,-25915.646548537658,563578.3282083173,265054.5600896,-24268.479472278636
273,2016-02-19 08:15:02,0.7,-11.6,39.4,15.5,-14.9,-0.5,4.1,202000000000.0,0.56,-127355113.54137601,74434480.29376604,-25968.87366003315,563411.1410777528,261063.43329256668,-24260.76712640356
275,2016-02-06 13:55:09,-30.4,-25.5,31.0,15.6,2.7,14.5,5.0,6853000000000.0,13.0,-107298612.00244816,100885853.95093563,-27732.340512113016,562682.5485855567,247742.56385384785,-24231.608071521572
276,2016-01-27 09:59:16,-45.8,53.6,37.0,11.5,-10.0,-4.4,3.6,50000000000.0,0.16,-87401000.87996933,118390392.64885482,-28008.263011249775,561909.4188959765,237149.25974379794,-24204.063947166156
