index,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),vx,vy,vz,lat,lon,a (km),e,i (rad),Omega (rad),omega (rad),M (rad)
176,2019-01-22 09:18:01,18.0N,6.5E,42.5,-8.6,-5.9,5.0,18.0,6.5,150736155.94256675,0.07087414357958952,0.04519747866118336,2.1726567910710815,5.021171026365442,1.1590161824727199
177,2018-12-23 23:38:03,47.5S,174.4W,31.8,9.9,7.6,10.8,-47.5,-174.4,304743603.6731195,0.5628805247629571,0.11462228659202751,1.6124900486651221,5.5219125851375415,6.056476394357303
178,2018-12-18 23:48:20,56.9N,172.4E,26.0,6.3,-3.0,-31.2,56.9,172.4,590499488.5966438,0.7490563909971131,0.8452124924947197,-1.6091436119119964,3.542905132576397,1.3013493961701519
179,2018-11-20 17:30:28,25.3N,6.7W,27.4,-10.1,13.9,3.0,25.3,-6.7,341617361.93588567,0.6261495222348095,0.05221226411299898,-1.9316324640272684,2.039533449340002,1.1090504794864078
185,2018-10-05 00:27:04,39.8S,31.7W,31.5,-13.2,-6.5,-0.4,-39.8,-31.7,111125172.49473868,0.4351789276167953,0.04605516352507982,0.20153265229735073,2.718326605810903,1.1033356276750457
186,2018-09-25 14:10:33,23.5S,56.8E,33.0,-16.2,2.8,0.6,-23.5,56.8,224461062.77204204,0.46497748494665436,0.059994970333616345,-3.095557950373827,1.9497577033137947,0.9512266269940941
187,2018-09-25 00:16:59,34.3S,44.9E,40.7,-11.0,2.5,-5.5,-34.3,44.9,168914254.30329302,0.16708771316092072,0.1683958545245988,-3.111109251000161,4.140636236566678,3.881423743366707
191,2018-08-27 04:36:45,1.7S,141.4E,33.0,9.8,-9.6,-8.4,-1.7,141.4,191828842.9133105,0.35478183445519973,0.19911503193889413,2.684326586526238,1.8891508738480614,1.8874734075823874
194,2018-07-25 21:55:26,76.9N,69.0W,43.3,20.4,12.9,-3.8,76.9,-69.0,344558512.724994,0.7322515432094179,0.19714561667707045,-0.9829886213593025,4.783504560846509,0.19568625537982065
196,2018-06-26 17:51:53,32.0N,12.1E,63.0,-10.0,-1.0,-9.9,32.0,12.1,278486127.08218956,0.45675585825604587,0.17004398031633017,1.6642505549132949,2.876466436441511,1.9832045164734673
197,2018-06-21 01:16:20,52.8N,38.1E,27.2,-8.9,-4.3,-10.5,52.8,38.1,127379945.99969807,0.2094104595242277,0.30536050078389443,1.562584359698788,6.00063382932106,4.882921305848992
198,2018-06-02 16:44:12,21.2S,23.3E,28.7,0.9,-16.4,3.9,-21.2,23.3,197938676.28825402,0.4113450824017702,0.0770144868116856,1.2544344417354147,4.508917244721647,0.5428550375546948
201,2018-05-03 07:23:59,46.9N,7.5W,39.0,1.3,-2.1,-11.2,46.9,-7.5,175922292.06750202,0.1471442572196797,0.03444340235331983,0.7682285266502782,2.9140538389605304,5.628679567140652
202,2018-04-30 13:17:57,45.5S,1.4W,34.0,8.7,-9.5,2.5,-45.5,-1.4,168881934.51532784,0.1719999453232593,0.14647896150425851,0.6997033770616129,4.137754472960193,5.095799355164778
203,2018-04-21 12:06:04,59.0S,45.8E,28.2,7.1,-4.6,11.9,-59.0,45.8,166739242.7048559,0.2365764636915161,0.1863847413324141,-2.596961911006844,1.3844255610914171,4.280576000507761
204,2018-04-19 14:02:27,7.5N,3.6E,30.0,-9.1,-2.5,18.6,7.5,3.6,192943345.22111303,0.21897620209882937,0.559804678980686,-2.6299218786372185,6.058531160406221,4.846902589311738
205,2018-04-19 13:39:38,22.2S,72.6E,31.5,-5.9,-9.1,1.4,-22.2,72.6,145761192.99473193,0.03620530036285917,0.0074574660640365,-0.23392164496350762,3.168769023641301,3.0102668829618064
207,2018-02-21 01:28:03,13.5S,37.1W,31.5,-0.9,13.1,-0.4,-13.5,-37.1,338588555.98183066,0.5711272477500631,0.020982464876938597,-1.3766463641776707,3.595187258095689,1.946478085086314
213,2018-01-15 02:18:38,52.0S,57.2E,43.6,18.6,-12.1,8.4,-52.0,57.2,352508148.3928783,0.7269453099436396,0.04260113390451796,-1.0948411676661072,1.6716102597740692,2.0402217288088202
214,2018-01-06 21:24:22,55.8N,52.5E,26.0,0.8,2.2,-20.9,55.8,52.5,380449296.2148446,0.6027626755592088,0.4593647377337736,-1.2853917097004683,3.4202520972031505,5.485565302753908
219,2017-12-15 13:14:37,60.2N,170.0E,20.0,27.8,-4.7,-13.9,60.2,170.0,466018544.4999522,0.8655164870489729,0.07097197643610262,-0.2604308635928107,3.61469212268894,3.539974836356662
220,2017-11-19 04:17:32,24.2S,135.0E,33.3,6.7,-3.4,8.6,-24.2,135.0,161218909.50493082,0.0978568974836322,0.04475477633297357,1.0338869846875012,6.002599858902835,2.6074857119861186
222,2017-10-23 15:31:23,28.8N,44.6E,35.4,-5.7,-10.7,-11.5,28.8,44.6,277600811.9813809,0.49223122429681826,0.28298385557586553,-2.6101584289353807,3.670703780982128,1.2004799290964883
223,2017-10-15 04:33:16,65.2S,128.2E,24.1,9.5,-8.3,9.7,-65.2,128.2,338249024.7380125,0.5876889423610197,0.07283698097201106,0.41187521356903495,5.6055847780993,0.8129280947434001
226,2017-09-05 05:11:27,49.3N,116.9W,36.0,12.7,-6.1,-4.2,49.3,-116.9,309185000.48588,0.5406001870929745,0.05788547434750153,2.8560144280971005,2.55347923502762,4.5788589561843125
228,2017-07-23 06:12:38,6.6S,69.7W,38.0,-0.4,8.7,-14.8,-6.6,-69.7,159753488.63973203,0.04851513113075751,0.44434066795714794,2.099640054506983,3.470389569666642,5.3288427874177025
229,2017-07-13 09:30:36,23.1N,60.7E,35.0,-10.0,-6.5,-6.8,23.1,60.7,141051253.41537943,0.2880832683490809,0.0348213830956164,1.9352415606875746,1.0193558801468585,1.6203099142404547
230,2017-06-30 14:26:45,34.3S,134.5E,20.0,10.9,-9.7,4.2,-34.3,134.5,185974899.73744366,0.3570333859209255,0.06317333930916035,1.7301670832890343,4.528557870480108,0.9313892932020646
231,2017-06-23 20:21:55,57.0N,143.7E,35.1,17.7,13.1,-10.3,57.0,143.7,174694436.22642452,0.6632745910758087,0.011201489921323258,-1.531972236162467,4.165095354252958,5.669464182256255
232,2017-06-20 13:41:32,54.2S,133.0E,33.3,8.7,-5.7,8.8,-54.2,133.0,168639832.59605083,0.25847547963528295,0.05881049702802369,-1.580189259495739,1.3831176620406112,0.6688819449141343
233,2017-05-24 07:03:03,9.1S,101.8E,46.0,-6.5,-16.5,-5.0,-9.1,101.8,162710842.9441816,0.49443378312605946,0.004167701787072998,-2.0342847114808595,4.339981789998298,5.224317853400081
